user_id,experiment_group
252,treatment
253,treatment
255,treatment
256,treatment
257,treatment
258,treatment
259,control
260,treatment
262,treatment
263,treatment
264,control
267,treatment
268,treatment
270,control
271,treatment
272,treatment
273,control
274,control
275,control
276,control
277,control
280,treatment
281,treatment
282,treatment
283,treatment
284,control
285,control
286,treatment
287,treatment
288,control
289,treatment
290,control
292,treatment
293,treatment
294,treatment
295,treatment
296,control
298,control
299,control
300,control
301,control
303,treatment
305,control
308,treatment
310,control
311,control
312,treatment
313,control
314,treatment
315,treatment
316,treatment
317,treatment
318,control
319,control
320,control
321,treatment
322,control
323,treatment
324,control
325,control
326,treatment
327,treatment
328,control
329,treatment
330,treatment
331,control
333,treatment
334,treatment
335,control
337,control
338,treatment
339,control
340,control
341,treatment
342,control
343,treatment
344,treatment
345,control
346,treatment
347,control
349,control
352,control
353,treatment
354,treatment
355,treatment
356,control
358,control
359,control
360,control
361,control
362,treatment
363,control
364,treatment
365,treatment
366,treatment
367,treatment
368,treatment
369,treatment
371,control
373,treatment
375,treatment
378,treatment
379,control
381,control
382,control
384,treatment
385,control
387,control
390,treatment
391,treatment
392,treatment
393,control
394,control
396,control
397,treatment
399,control
400,control
401,treatment
402,treatment
403,treatment
404,treatment
405,treatment
407,control
408,control
409,treatment
410,control
411,treatment
412,treatment
413,control
414,treatment
417,control
419,treatment
420,control
421,control
423,treatment
424,treatment
426,control
427,control
428,treatment
429,treatment
430,control
431,control
432,treatment
433,treatment
434,control
435,control
437,treatment
438,treatment
442,treatment
443,control
444,control
446,control
447,treatment
448,control
449,treatment
450,treatment
452,control
453,control
454,control
455,treatment
457,control
458,treatment
459,treatment
460,treatment
461,control
462,control
463,control
464,control
465,treatment
467,control
469,treatment
470,control
471,control
473,treatment
474,control
475,control
476,treatment
478,treatment
479,control
480,control
481,control
483,control
484,control
485,treatment
487,control
488,control
489,treatment
490,control
491,treatment
494,control
496,control
497,control
498,treatment
500,treatment
501,treatment
502,treatment
503,control
504,control
505,control
506,control
508,treatment
510,control
511,control
512,control
515,control
516,treatment
517,treatment
518,control
521,control
524,treatment
526,treatment
527,treatment
528,treatment
529,treatment
530,control
531,control
532,control
533,treatment
534,treatment
535,treatment
536,control
538,control
539,treatment
541,control
542,control
543,control
544,control
546,control
547,treatment
548,treatment
549,treatment
551,control
552,treatment
554,control
555,treatment
556,control
557,control
558,treatment
559,control
560,control
562,control
564,treatment
565,control
566,treatment
569,treatment
571,control
572,treatment
573,treatment
574,treatment
575,control
576,treatment
577,treatment
578,treatment
580,control
581,control
583,treatment
584,control
586,treatment
587,treatment
588,control
589,treatment
591,treatment
592,treatment
593,treatment
594,treatment
595,control
596,control
597,control
598,treatment
599,control
600,treatment
601,control
603,control
604,control
605,treatment
606,treatment
607,treatment
608,treatment
610,control
613,control
614,control
616,treatment
620,control
621,control
622,treatment
623,treatment
626,control
627,control
628,treatment
629,control
630,treatment
631,treatment
632,control
633,control
635,treatment
636,control
637,treatment
638,treatment
639,control
640,control
641,control
642,treatment
643,treatment
644,control
645,control
646,control
647,treatment
648,treatment
649,treatment
650,control
651,control
652,treatment
654,treatment
655,control
656,control
657,treatment
658,treatment
659,treatment
661,treatment
662,control
663,control
664,control
665,control
666,control
669,control
670,treatment
671,treatment
672,treatment
673,control
675,treatment
677,treatment
678,control
679,treatment
680,control
681,treatment
684,control
685,treatment
686,control
687,treatment
688,control
689,treatment
690,treatment
691,treatment
692,control
693,control
694,treatment
695,control
696,control
697,treatment
698,control
699,treatment
700,treatment
701,treatment
702,treatment
703,control
704,treatment
706,control
707,treatment
708,control
709,treatment
710,control
711,treatment
712,treatment
713,control
715,control
717,control
718,treatment
719,treatment
720,treatment
721,control
722,treatment
723,control
725,control
727,control
728,control
729,control
732,treatment
736,treatment
737,control
738,treatment
739,control
740,control
741,control
744,control
745,control
746,control
747,treatment
748,treatment
749,treatment
751,control
752,treatment
753,control
754,control
755,treatment
757,treatment
758,treatment
761,control
762,treatment
763,control
764,control
765,control
767,treatment
768,control
770,control
771,treatment
774,treatment
776,control
777,treatment
779,treatment
780,treatment
781,treatment
783,treatment
784,treatment
786,control
787,control
788,treatment
789,control
790,control
791,treatment
792,treatment
793,treatment
794,treatment
795,treatment
796,treatment
798,treatment
799,treatment
800,treatment
801,treatment
803,treatment
804,treatment
805,treatment
806,control
807,control
808,treatment
810,control
811,treatment
812,control
813,control
814,control
815,treatment
817,control
818,control
820,control
821,control
822,control
823,control
824,treatment
827,treatment
831,control
832,control
833,treatment
834,treatment
835,treatment
837,treatment
838,control
839,treatment
840,control
841,control
843,treatment
844,treatment
845,control
847,control
848,control
849,control
850,treatment
851,control
853,treatment
854,control
858,treatment
859,control
860,treatment
861,treatment
862,control
863,control
864,control
865,treatment
866,control
867,control
869,control
871,control
872,control
874,treatment
875,control
876,control
878,control
879,control
880,treatment
881,treatment
882,treatment
885,treatment
886,control
887,control
888,treatment
889,control
890,control
891,treatment
892,control
894,treatment
895,control
896,control
897,treatment
898,treatment
899,control
901,control
904,treatment
906,treatment
907,control
908,control
909,control
910,control
911,control
912,control
913,control
915,treatment
918,treatment
919,control
921,control
922,control
923,treatment
924,control
925,control
926,control
927,treatment
928,treatment
930,treatment
931,treatment
932,treatment
933,treatment
935,treatment
936,control
937,control
939,treatment
940,treatment
941,control
944,control
945,treatment
946,treatment
947,control
949,control
951,treatment
952,treatment
955,treatment
956,treatment
957,control
958,treatment
959,control
960,control
961,treatment
963,control
965,treatment
966,treatment
968,control
969,treatment
970,treatment
971,treatment
973,treatment
974,control
976,treatment
977,control
979,treatment
982,control
983,treatment
985,treatment
986,treatment
987,treatment
988,treatment
989,treatment
990,treatment
991,control
992,control
993,control
994,treatment
995,control
996,control
997,control
998,control
999,control
1000,control
1001,treatment
1002,treatment
1003,control
1004,control
1005,control
1006,control
1010,treatment
1013,treatment
1014,control
1015,control
1016,treatment
1017,treatment
1018,control
1019,control
1020,control
1022,control
1026,treatment
1028,treatment
1029,control
1031,treatment
1032,treatment
1034,control
1035,treatment
1037,treatment
1039,control
1040,control
1041,treatment
1042,treatment
1043,treatment
1045,treatment
1046,control
1047,treatment
1051,treatment
1052,treatment
1053,control
1054,treatment
1055,treatment
1056,treatment
1057,control
1058,control
1060,control
1061,treatment
1062,treatment
1066,treatment
1068,control
1069,treatment
1071,treatment
1072,treatment
1073,treatment
1074,treatment
1075,treatment
1076,control
1077,treatment
1079,control
1080,treatment
1081,treatment
1082,treatment
1083,treatment
1084,control
1085,treatment
1087,control
1089,control
1090,control
1091,treatment
1092,treatment
1093,control
1094,control
1095,control
1096,control
1097,control
1098,treatment
1099,control
1101,treatment
1102,treatment
1103,control
1104,treatment
1105,control
1106,treatment
1107,control
1108,treatment
1109,treatment
1111,control
1112,control
1113,treatment
1114,control
1115,control
1116,control
1117,control
1118,control
1119,treatment
1121,treatment
1122,treatment
1123,treatment
1125,treatment
1126,control
1127,control
1128,treatment
1129,treatment
1131,control
1132,treatment
1133,treatment
1134,treatment
1136,control
1138,control
1140,control
1141,control
1142,control
1143,treatment
1144,control
1146,control
1148,control
1149,control
1150,control
1151,control
1154,control
1156,control
1157,control
1158,control
1159,treatment
1160,control
1161,treatment
1162,control
1164,control
1165,control
1166,control
1167,treatment
1168,treatment
1169,control
1170,treatment
1171,treatment
1172,control
1173,treatment
1174,treatment
1176,control
1177,control
1178,control
1180,control
1181,treatment
1182,treatment
1183,control
1184,control
1185,treatment
1186,control
1187,control
1189,treatment
1190,control
1191,treatment
1192,treatment
1193,control
1194,control
1195,treatment
1196,treatment
1197,treatment
1198,treatment
1199,control
1200,treatment
1201,control
1202,control
1203,control
1204,treatment
1206,control
1209,treatment
1212,control
1213,treatment
1214,control
1216,control
1217,treatment
1220,control
1221,control
1222,control
1223,treatment
1224,treatment
1227,treatment
1229,treatment
1231,treatment
1233,control
1234,treatment
1235,treatment
1237,control
1238,control
1239,control
1240,control
1241,treatment
1242,control
1243,control
1246,treatment
1247,control
1248,treatment
1250,treatment
1251,treatment
1252,control
1253,control
1254,treatment
1255,control
1256,treatment
1259,control
1260,treatment
1262,control
1263,control
1264,control
1265,control
1267,treatment
1268,control
1269,treatment
1271,control
1272,treatment
1273,control
1274,treatment
1275,treatment
1276,control
1277,control
1278,treatment
1279,control
1282,control
1284,control
1285,treatment
1286,treatment
1287,control
1288,control
1289,control
1290,control
1291,treatment
1293,control
1296,control
1299,control
1300,control
1301,treatment
1302,control
1303,treatment
1304,treatment
1306,control
1307,control
1310,control
1311,control
1312,control
1313,control
1314,control
1315,treatment
1316,control
1317,treatment
1318,control
1320,control
1321,control
1322,control
1323,treatment
1324,treatment
1325,control
1326,control
1328,treatment
1329,treatment
1330,treatment
1331,control
1332,control
1333,treatment
1334,control
1335,treatment
1336,control
1337,treatment
1338,control
1340,control
1341,treatment
1342,control
1344,control
1345,control
1346,treatment
1348,control
1349,treatment
1350,control
1351,control
1352,treatment
1354,control
1355,control
1356,control
1357,control
1358,control
1360,control
1361,control
1362,treatment
1363,treatment
1364,treatment
1366,treatment
1367,control
1369,control
1370,treatment
1371,control
1372,treatment
1373,treatment
1374,control
1375,treatment
1377,treatment
1378,treatment
1381,treatment
1383,control
1385,control
1387,treatment
1388,control
1389,treatment
1390,treatment
1392,treatment
1393,treatment
1394,treatment
1395,control
1396,treatment
1397,treatment
1398,treatment
1399,control
1400,treatment
1401,control
1404,control
1405,treatment
1406,treatment
1407,treatment
1409,control
1410,treatment
1411,treatment
1412,control
1413,treatment
1414,control
1415,control
1416,control
1417,treatment
1419,control
1422,treatment
1426,control
1427,control
1428,control
1430,control
1431,treatment
1432,control
1433,control
1434,control
1436,treatment
1437,treatment
1438,control
1441,control
1442,treatment
1444,control
1445,treatment
1447,control
1449,treatment
1451,control
1452,control
1453,treatment
1454,treatment
1455,control
1456,control
1457,treatment
1458,treatment
1459,treatment
1461,treatment
1463,control
1464,control
1467,treatment
1469,control
1470,treatment
1473,control
1474,control
1476,treatment
1477,control
1478,control
1479,treatment
1481,control
1482,treatment
1483,control
1485,treatment
1486,control
1488,control
1489,treatment
1493,control
1496,control
1497,control
1501,control
1502,treatment
1503,control
1504,control
1505,control
1506,control
1507,control
1508,control
1511,treatment
1512,control
1514,treatment
1515,control
1516,control
1517,treatment
1518,control
1519,treatment
1520,treatment
1521,treatment
1522,treatment
1523,treatment
1524,treatment
1525,treatment
1526,control
1528,treatment
1529,control
1531,control
1532,treatment
1536,treatment
1537,control
1539,control
1540,control
1541,treatment
1542,control
1543,control
1544,treatment
1545,control
1546,treatment
1548,control
1550,control
1551,treatment
1553,control
1554,treatment
1555,treatment
1557,control
1562,control
1563,control
1566,control
1567,treatment
1568,control
1570,control
1571,treatment
1573,control
1574,control
1575,control
1577,control
1579,treatment
1580,control
1581,treatment
1582,treatment
1584,treatment
1585,treatment
1586,treatment
1587,treatment
1588,control
1590,control
1591,control
1594,treatment
1595,treatment
1596,control
1597,control
1598,control
1599,treatment
1601,control
1603,control
1604,treatment
1605,treatment
1607,control
1608,control
1609,control
1610,treatment
1612,control
1613,control
1614,treatment
1617,control
1618,treatment
1619,control
1621,treatment
1622,control
1623,control
1625,control
1626,control
1629,treatment
1631,treatment
1632,control
1635,control
1636,control
1640,treatment
1642,control
1643,treatment
1644,treatment
1645,treatment
1646,control
1647,control
1648,control
1650,control
1651,treatment
1652,treatment
1653,treatment
1654,treatment
1655,treatment
1656,control
1657,control
1658,control
1661,control
1662,control
1663,control
1664,control
1665,treatment
1666,control
1668,treatment
1669,control
1670,control
1671,control
1672,treatment
1676,control
1677,control
1678,control
1679,treatment
1680,control
1681,treatment
1682,control
1683,control
1684,control
1685,control
1686,control
1688,control
1689,control
1691,treatment
1692,control
1693,treatment
1694,treatment
1695,treatment
1696,treatment
1697,control
1698,control
1699,control
1700,control
1702,control
1703,treatment
1704,control
1706,treatment
1707,control
1709,treatment
1710,treatment
1711,control
1713,treatment
1714,treatment
1715,control
1716,treatment
1717,treatment
1718,treatment
1719,control
1722,control
1723,treatment
1724,control
1725,treatment
1731,treatment
1732,control
1733,treatment
1734,control
1735,treatment
1737,treatment
1739,control
1740,control
1741,treatment
1742,control
1744,treatment
1745,control
1746,treatment
1747,control
1748,treatment
1749,control
1750,treatment
1752,control
1754,control
1756,treatment
1757,control
1758,treatment
1759,control
1761,control
1763,treatment
1764,control
1765,control
1766,treatment
1768,control
1769,control
1770,control
1771,control
1772,treatment
1774,control
1778,treatment
1780,treatment
1781,treatment
1782,treatment
1783,treatment
1784,treatment
1785,treatment
1786,control
1787,control
1789,treatment
1790,control
1791,treatment
1794,control
1795,control
1796,treatment
1797,treatment
1798,treatment
1799,control
1800,treatment
1802,control
1803,control
1804,control
1805,control
1806,treatment
1807,control
1808,treatment
1812,control
1813,treatment
1814,control
1815,control
1816,control
1817,control
1818,control
1820,treatment
1821,control
1823,control
1824,control
1826,treatment
1827,control
1828,treatment
1829,control
1832,treatment
1833,control
1834,control
1836,treatment
1837,control
1838,control
1839,control
1840,treatment
1841,control
1842,control
1843,control
1844,treatment
1845,treatment
1846,control
1847,control
1848,treatment
1849,control
1850,treatment
1851,treatment
1852,treatment
1853,treatment
1855,control
1856,treatment
1857,control
1858,treatment
1859,control
1860,treatment
1861,treatment
1862,treatment
1863,control
1864,treatment
1866,control
1867,control
1868,control
1869,treatment
1870,treatment
1871,control
1872,control
1873,treatment
1874,control
1878,treatment
1879,control
1880,control
1881,control
1882,treatment
1883,treatment
1884,treatment
1886,treatment
1888,treatment
1889,treatment
1891,control
1892,treatment
1893,treatment
1896,control
1897,treatment
1898,control
1900,treatment
1901,control
1903,control
1905,control
1906,treatment
1907,treatment
1908,control
1909,control
1910,treatment
1911,treatment
1912,treatment
1913,treatment
1914,control
1915,treatment
1916,treatment
1917,control
1918,treatment
1923,control
1924,treatment
1925,treatment
1926,control
1927,treatment
1928,treatment
1930,treatment
1931,treatment
1932,control
1934,treatment
1935,treatment
1936,control
1938,control
1939,control
1940,control
1941,control
1943,treatment
1944,control
1946,treatment
1947,treatment
1948,treatment
1949,control
1950,control
1951,treatment
1952,control
1953,treatment
1954,control
1955,control
1956,control
1958,treatment
1959,treatment
1961,treatment
1964,treatment
1966,control
1967,control
1968,control
1969,treatment
1971,control
1972,control
1974,control
1975,control
1976,control
1978,control
1980,control
1981,treatment
1982,control
1983,treatment
1984,control
1986,treatment
1987,control
1988,treatment
1989,control
1990,control
1991,control
1992,control
1994,control
1995,treatment
1996,control
1998,treatment
1999,treatment
2000,treatment
2001,treatment
2003,treatment
2004,treatment
2005,control
2006,control
2007,treatment
2008,treatment
2009,control
2010,control
2011,treatment
2012,control
2013,treatment
2015,control
2017,control
2018,control
2019,control
2020,control
2023,control
2025,treatment
2026,treatment
2027,treatment
2029,treatment
2030,control
2031,treatment
2032,treatment
2033,control
2034,treatment
2036,control
2037,treatment
2038,control
2039,control
2040,treatment
2041,control
2045,treatment
2046,control
2047,treatment
2048,control
2049,treatment
2050,treatment
2051,treatment
2052,control
2053,treatment
2054,treatment
2055,treatment
2056,control
2057,treatment
2060,control
2062,control
2063,control
2064,treatment
2065,treatment
2066,control
2067,control
2068,control
2069,control
2071,treatment
2074,control
2075,control
2076,control
2077,treatment
2078,treatment
2080,treatment
2084,treatment
2085,control
2086,treatment
2087,control
2088,control
2089,treatment
2090,treatment
2091,control
2092,treatment
2095,control
2096,treatment
2098,control
2099,treatment
2100,treatment
2101,control
2103,control
2107,treatment
2108,control
2110,treatment
2112,control
2115,control
2116,control
2117,control
2118,treatment
2120,control
2121,treatment
2124,treatment
2126,treatment
2128,treatment
2129,treatment
2130,control
2131,treatment
2133,treatment
2134,control
2135,control
2137,treatment
2139,treatment
2141,control
2142,treatment
2143,treatment
2144,treatment
2145,treatment
2146,control
2149,control
2150,control
2151,control
2152,control
2153,treatment
2154,treatment
2156,control
2157,control
2158,control
2159,treatment
2160,treatment
2161,treatment
2162,control
2163,control
2164,treatment
2165,control
2166,control
2168,control
2169,control
2170,control
2171,control
2174,control
2176,control
2177,control
2178,control
2179,treatment
2180,treatment
2181,control
2182,control
2183,treatment
2185,treatment
2187,control
2188,control
2189,control
2190,control
2191,treatment
2192,control
2193,control
2194,control
2195,control
2196,treatment
2197,treatment
2199,treatment
2201,treatment
2202,treatment
2203,treatment
2204,control
2205,treatment
2207,treatment
2208,control
2210,control
2212,control
2214,treatment
2215,treatment
2216,treatment
2217,control
2219,treatment
2220,treatment
2221,treatment
2223,treatment
2224,control
2225,control
2227,treatment
2228,control
2229,control
2230,control
2231,control
2232,treatment
2233,treatment
2235,control
2236,control
2238,control
2240,treatment
2241,treatment
2242,control
2244,treatment
2245,treatment
2246,control
2247,control
2248,treatment
2249,treatment
2252,treatment
2254,treatment
2258,treatment
2259,treatment
2260,control
2261,treatment
2262,control
2263,treatment
2265,treatment
2266,treatment
2267,treatment
2269,treatment
2270,treatment
2271,treatment
2272,treatment
2273,treatment
2274,control
2275,treatment
2276,control
2277,control
2278,control
2279,treatment
2280,treatment
2281,treatment
2282,treatment
2283,control
2284,treatment
2286,control
2288,control
2289,treatment
2290,control
2291,treatment
2292,control
2293,treatment
2295,treatment
2296,treatment
2297,control
2298,treatment
2299,control
2300,control
2303,treatment
2304,control
2306,control
2308,control
2309,control
2310,control
2312,treatment
2313,treatment
2317,treatment
2318,control
2319,treatment
2320,treatment
2321,treatment
2322,control
2323,treatment
2325,control
2326,treatment
2327,treatment
2328,treatment
2329,control
2330,control
2333,treatment
2334,control
2335,control
2336,control
2337,control
2338,control
2339,control
2340,treatment
2342,control
2343,control
2346,control
2347,treatment
2348,control
2349,control
2350,control
2353,control
2354,control
2355,control
2356,control
2357,control
2358,treatment
2359,treatment
2360,control
2362,control
2363,treatment
2364,treatment
2366,treatment
2367,treatment
2368,treatment
2369,control
2371,control
2372,control
2373,treatment
2374,treatment
2375,control
2376,treatment
2377,treatment
2379,control
2381,treatment
2382,treatment
2384,treatment
2385,treatment
2387,treatment
2388,control
2389,control
2390,treatment
2391,treatment
2392,control
2394,control
2395,control
2397,treatment
2399,control
2401,control
2402,treatment
2403,control
2404,control
2405,control
2406,control
2408,control
2410,treatment
2411,treatment
2413,control
2415,treatment
2418,control
2420,control
2421,treatment
2426,treatment
2427,treatment
2428,treatment
2429,control
2431,treatment
2432,control
2433,treatment
2434,control
2435,control
2437,treatment
2438,treatment
2439,treatment
2440,control
2443,control
2444,control
2445,treatment
2447,treatment
2448,treatment
2450,control
2452,control
2454,treatment
2457,treatment
2458,treatment
2459,treatment
2461,control
2462,control
2463,treatment
2465,control
2467,treatment
2468,control
2469,control
2470,control
2472,control
2474,control
2475,control
2476,treatment
2477,control
2478,treatment
2479,control
2480,treatment
2482,control
2484,control
2485,control
2487,treatment
2488,treatment
2489,treatment
2490,treatment
2491,control
2493,treatment
2494,control
2495,control
2496,treatment
2499,treatment
2500,control
2501,control
2502,control
2503,control
2504,control
2505,control
2506,control
2507,treatment
2508,control
2509,treatment
2510,treatment
2511,control
2512,treatment
2513,treatment
2514,control
2515,treatment
2517,treatment
2519,control
2520,treatment
2521,control
2523,treatment
2524,treatment
2525,treatment
2526,treatment
2527,treatment
2530,control
2531,control
2532,treatment
2533,treatment
2534,control
2535,treatment
2536,control
2537,treatment
2538,treatment
2540,treatment
2542,control
2543,treatment
2544,control
2545,control
2546,control
2548,treatment
2551,treatment
2553,treatment
2555,treatment
2556,control
2557,treatment
2558,treatment
2559,control
2560,control
2561,treatment
2562,control
2564,treatment
2565,control
2568,treatment
2569,treatment
2570,control
2571,treatment
2572,control
2573,treatment
2574,control
2575,control
2576,treatment
2578,treatment
2579,treatment
2582,control
2583,treatment
2584,control
2585,treatment
2586,control
2589,treatment
2590,control
2592,treatment
2593,treatment
2594,treatment
2595,treatment
2596,control
2597,treatment
2598,treatment
2600,control
2601,control
2603,control
2606,control
2607,treatment
2609,control
2610,treatment
2611,treatment
2612,treatment
2613,control
2614,treatment
2615,treatment
2616,treatment
2617,control
2618,control
2619,treatment
2620,control
2621,control
2622,treatment
2623,treatment
2624,treatment
2625,treatment
2626,treatment
2628,treatment
2631,control
2632,control
2633,treatment
2634,control
2635,control
2636,control
2637,control
2638,treatment
2639,control
2641,control
2642,treatment
2643,control
2644,treatment
2645,control
2647,control
2648,treatment
2649,control
2651,treatment
2652,control
2653,control
2654,treatment
2655,control
2656,treatment
2657,control
2658,control
2659,control
2660,control
2661,control
2662,treatment
2663,control
2664,control
2665,treatment
2666,treatment
2667,control
2668,treatment
2669,treatment
2670,treatment
2671,treatment
2672,control
2673,treatment
2674,treatment
2675,treatment
2676,treatment
2678,control
2680,control
2682,treatment
2683,treatment
2684,control
2685,control
2686,control
2688,treatment
2689,treatment
2690,control
2693,treatment
2694,control
2695,treatment
2696,treatment
2698,control
2699,treatment
2700,control
2701,treatment
2702,treatment
2703,treatment
2706,treatment
2708,control
2709,treatment
2710,control
2711,treatment
2713,control
2714,control
2715,control
2716,control
2717,treatment
2719,control
2720,control
2721,treatment
2722,control
2723,treatment
2724,control
2726,control
2730,control
2731,treatment
2733,control
2736,control
2737,treatment
2739,control
2740,treatment
2742,treatment
2743,treatment
2744,control
2746,treatment
2747,control
2749,treatment
2751,control
2752,treatment
2753,control
2755,treatment
2757,treatment
2758,treatment
2759,treatment
2760,treatment
2761,control
2763,control
2764,treatment
2765,control
2766,control
2767,control
2768,control
2770,control
2771,treatment
2773,control
2774,treatment
2775,control
2776,control
2777,control
2779,treatment
2780,treatment
2782,treatment
2783,treatment
2784,treatment
2785,treatment
2786,control
2787,treatment
2790,control
2791,treatment
2793,control
2796,treatment
2797,treatment
2798,control
2800,treatment
2802,control
2805,treatment
2806,control
2807,treatment
2808,treatment
2809,control
2811,control
2812,treatment
2813,control
2814,control
2816,treatment
2817,control
2818,treatment
2819,control
2820,treatment
2822,treatment
2823,treatment
2824,control
2829,control
2830,control
2831,control
2832,treatment
2833,control
2834,control
2835,treatment
2837,control
2838,control
2839,treatment
2840,treatment
2841,treatment
2843,treatment
2844,control
2845,control
2846,treatment
2847,treatment
2848,control
2849,control
2850,control
2852,treatment
2853,treatment
2854,control
2855,control
2856,treatment
2858,treatment
2861,control
2867,control
2868,control
2869,treatment
2870,control
2871,treatment
2874,control
2875,treatment
2877,treatment
2878,treatment
2879,treatment
2880,control
2885,treatment
2886,treatment
2887,treatment
2888,control
2889,control
2890,control
2891,control
2892,treatment
2893,control
2894,control
2895,treatment
2897,control
2898,control
2899,treatment
2901,treatment
2902,treatment
2904,control
2905,control
2908,control
2909,treatment
2910,treatment
2911,treatment
2914,treatment
2916,control
2919,control
2920,control
2921,control
2923,control
2925,treatment
2926,treatment
2927,control
2928,control
2929,treatment
2930,treatment
2932,control
2933,control
2934,treatment
2936,control
2938,treatment
2939,treatment
2940,control
2941,treatment
2943,treatment
2944,treatment
2945,control
2946,control
2947,control
2948,treatment
2949,control
2950,treatment
2951,control
2952,control
2953,control
2954,treatment
2955,treatment
2956,treatment
2957,control
2959,control
2961,control
2962,treatment
2963,control
2969,control
2970,control
2972,control
2973,control
2974,treatment
2975,control
2977,control
2979,control
2980,control
2981,control
2982,control
2983,control
2985,treatment
2986,control
2987,treatment
2989,treatment
2990,control
2992,control
2994,control
2995,control
2996,control
2998,treatment
2999,control
3000,control
3001,treatment
3002,control
3003,control
3005,treatment
3006,control
3007,control
3008,treatment
3009,control
3010,treatment
3011,treatment
3013,control
3017,treatment
3018,treatment
3019,treatment
3020,control
3021,control
3022,treatment
3023,control
3024,control
3026,control
3027,control
3029,treatment
3031,control
3032,control
3033,control
3034,treatment
3035,treatment
3036,control
3037,treatment
3038,control
3040,control
3041,control
3042,treatment
3043,control
3045,treatment
3047,control
3048,treatment
3049,treatment
3050,control
3051,treatment
3052,treatment
3053,control
3054,control
3055,control
3056,treatment
3057,control
3058,treatment
3059,control
3060,control
3061,treatment
3062,control
3063,treatment
3065,control
3066,treatment
3067,control
3068,control
3069,control
3070,control
3071,control
3074,treatment
3077,treatment
3079,treatment
3081,treatment
3083,control
3084,treatment
3085,treatment
3086,treatment
3087,treatment
3090,treatment
3091,control
3092,treatment
3094,treatment
3095,treatment
3096,treatment
3097,control
3098,control
3100,control
3101,treatment
3102,treatment
3103,control
3104,control
3105,treatment
3107,control
3108,control
3109,control
3110,control
3111,control
3112,control
3113,control
3115,treatment
3116,treatment
3117,control
3118,control
3119,control
3121,treatment
3122,treatment
3123,control
3125,treatment
3126,treatment
3128,treatment
3130,treatment
3131,control
3132,control
3133,treatment
3136,control
3137,control
3138,control
3139,control
3140,treatment
3141,treatment
3142,control
3145,treatment
3146,treatment
3147,treatment
3148,treatment
3149,treatment
3150,treatment
3152,control
3155,treatment
3156,control
3157,control
3158,control
3159,control
3160,treatment
3161,control
3164,treatment
3167,treatment
3168,treatment
3170,control
3171,treatment
3173,control
3174,control
3175,control
3176,control
3177,treatment
3178,treatment
3180,treatment
3181,control
3182,control
3183,treatment
3184,control
3187,treatment
3188,treatment
3189,control
3191,control
3193,control
3194,treatment
3196,control
3197,treatment
3198,control
3199,treatment
3200,control
3201,control
3203,control
3204,treatment
3205,control
3206,control
3207,control
3208,control
3209,control
3210,treatment
3211,treatment
3212,treatment
3213,treatment
3214,treatment
3217,treatment
3219,treatment
3220,treatment
3221,treatment
3223,treatment
3227,treatment
3228,treatment
3229,treatment
3230,treatment
3231,treatment
3232,treatment
3233,control
3234,treatment
3235,treatment
3236,control
3237,treatment
3239,control
3240,control
3242,treatment
3243,treatment
3245,control
3246,control
3248,control
3249,control
3250,control
3251,treatment
3253,control
3254,treatment
3256,treatment
3257,control
3262,treatment
3264,treatment
3265,treatment
3266,treatment
3267,treatment
3268,treatment
3269,treatment
3270,control
3273,treatment
3274,control
3276,treatment
3277,treatment
3278,control
